color,text
Red,radiance cleansing beam deal damage target creature creature share color
Red,player target player creates red dragon creature token flying
Black,dread cacodemon enters battlefield cast hand destroy creature opponent control tap creature control
Black,buyback may pay additional cast spell put card hand resolve evincar justice deal damage creature player
White,multikicker whitemana may pay additional whitemana number time cast spell flying lightkeeper emeria enters battlefield gain life time wa kicked
Red,flying trample join force whenever manaminuscharged dragon attack block player starting may pay amount mana manaminuscharged dragon get plusxandplus end turn x total amount mana paid way
White,tap target creature control gain protection color choice end turn
Red,haste beginning upkeep return red creature control owner hand
Red,beginning end step creature battlefield sacrifice pyrohemia redmana pyrohemia deal damage creature player
Black,black creature block
Black,flying reiver demon enters battlefield cast hand destroy nonartifact nonblack creature regenerated
White,whenever creature attack gain life
White,flying whenever land enters battlefield opponent control may gain life
Red,opponent search library opponent would begin extra turn player skip turn instead
Red,sulfurous blast deal damage creature player cast spell main phase sulfurous blast deal damage creature player instead
Red,enchant creature enchanted creature get plusandplus ha first strike attack planeswalker control
Blue,flash enchant instant sorcery spell stack animate spell becomes attached instant sorcery put card onto battlefield owner control creature addition type power toughness equal converted mana cost animate spell leaf battlefield enchanted card owner sacrifice unless cast
White,sliver banding creature banding one without attack band band blocked group creature banding control blocking blocked creature divide creature combat damage controller among creature blocked blocking
White,baneslayer aspirant get plusandplus ha flying first strike lifelink long one emblem
Green,vigilance aggressive turn additional combat phase first creature aggressive may attack
Blue,scrycast see card scrying may reveal cast paying flying
